ID,date,breakfast,lunch,supper,start_weight,weight
721c929849fc713ce020c5a3e748f73f,2020/11/17,breakfast/293290_20201117_breakfast_1605569539_1.jpg;breakfast/293290_20201117_breakfast_1605569540_2.jpg|||,lunch/293290_20201117_lunch_1605617876_1.jpg|||bun eggplant egg,supper/293290_20201117_supper_1605617925_1.jpg|||wine mustard meat,78.8,78.4
721c929849fc713ce020c5a3e748f73f,2020/11/18,breakfast/293290_20201118_breakfast_1605667215_1.jpg|||dumpling,lunch/293290_20201118_lunch_1605699259_1.jpg|||chicken noodle,supper/293290_20201118_supper_1605699286_1.jpg|||fish cucumber wine,78.4,79.3
721c929849fc713ce020c5a3e748f73f,2020/11/19,breakfast/293290_20201119_breakfast_1605751810_1.jpg;breakfast/293290_20201119_breakfast_1605751811_2.jpg|||,lunch/293290_20201119_lunch_1605792865_1.jpg|||rice,supper/293290_20201119_supper_1605792895_1.jpg|||,79.3,79.5
721c929849fc713ce020c5a3e748f73f,2020/11/20,breakfast/293290_20201120_breakfast_1605827326_1.jpg;breakfast/293290_20201120_breakfast_1605827327_2.jpg|||bread milk,lunch/293290_20201120_lunch_1605860284_1.jpg|||,supper/293290_20201120_supper_1605878086_1.jpg;supper/293290_20201120_supper_1605878086_2.jpg|||bread cabbage,79.5,78.5
721c929849fc713ce020c5a3e748f73f,2020/11/21,breakfast/293290_20201121_breakfast_1605917741_1.jpg;breakfast/293290_20201121_breakfast_1605917742_2.jpg;breakfast/293290_20201121_breakfast_1605917762_3.jpg|||,lunch/293290_20201121_lunch_1605951359_1.jpg|||dumpling,supper/293290_20201121_supper_1605961855_1.jpg|||banana,78.5,77.9
721c929849fc713ce020c5a3e748f73f,2020/11/22,breakfast/293290_20201122_breakfast_1606009531_1.jpg;breakfast/293290_20201122_breakfast_1606009532_2.jpg|||,|||,supper/293290_20201122_supper_1606045002_1.jpg|||orange banana,77.9,78.0
721c929849fc713ce020c5a3e748f73f,2020/11/23,breakfast/293290_20201123_breakfast_1606086006_1.jpg;breakfast/293290_20201123_breakfast_1606086007_2.jpg|||pancake egg,lunch/293290_20201123_lunch_1606114559_1.jpg|||pasta eggplant,supper/293290_20201123_supper_1606135010_1.jpg|||vegetable mushroom green wood_ear,78.0,77.8
721c929849fc713ce020c5a3e748f73f,2020/11/24,breakfast/293290_20201124_breakfast_1606172978_1.jpg|||sandwich milk,lunch/293290_20201124_lunch_1606213847_1.jpg|||,supper/293290_20201124_supper_1606227913_1.jpg|||fish meat,77.8,78.5
721c929849fc713ce020c5a3e748f73f,2020/11/25,breakfast/293290_20201125_breakfast_1606260245_1.jpg;breakfast/293290_20201125_breakfast_1606260246_2.jpg|||bread milk,lunch/293290_20201125_lunch_1606278501_1.jpg|||meal_replacement_powder,supper/293290_20201125_supper_1606308339_1.jpg|||bread radish tomato cabbage,78.5,78.1
721c929849fc713ce020c5a3e748f73f,2020/11/26,breakfast/293290_20201126_breakfast_1606345339_1.jpg;breakfast/293290_20201126_breakfast_1606345340_2.jpg|||bun milk,lunch/293290_20201126_lunch_1606364506_1.jpg|||meal_replacement_powder,supper/293290_20201126_supper_1606393969_1.jpg|||bread mushroom celery,78.1,77.8
721c929849fc713ce020c5a3e748f73f,2020/11/27,breakfast/293290_20201127_breakfast_1606434043_1.jpg;breakfast/293290_20201127_breakfast_1606434044_2.jpg|||bread milk egg,lunch/293290_20201127_lunch_1606486079_1.jpg|||,supper/293290_20201127_supper_1606486104_1.jpg|||,77.8,78.0
721c929849fc713ce020c5a3e748f73f,2020/11/28,breakfast/293290_20201128_breakfast_1606525158_1.jpg;breakfast/293290_20201128_breakfast_1606525159_2.jpg|||soup pancake,lunch/293290_20201128_lunch_1606544311_1.jpg|||meal_replacement_powder,supper/293290_20201128_supper_1606565104_1.jpg|||,78.0,78.6
721c929849fc713ce020c5a3e748f73f,2020/11/29,breakfast/293290_20201129_breakfast_1606612087_1.jpg|||dumpling,lunch/293290_20201129_lunch_1606628908_1.jpg|||,supper/293290_20201129_supper_1606657702_1.jpg|||beef noodle,78.6,78.6
721c929849fc713ce020c5a3e748f73f,2020/11/30,breakfast/293290_20201130_breakfast_1606692392_1.jpg;breakfast/293290_20201130_breakfast_1606692393_2.jpg|||dumpling milk,lunch/293290_20201130_lunch_1606709896_1.jpg;lunch/293290_20201130_lunch_1606709897_2.jpg;lunch/293290_20201130_lunch_1606709898_3.jpg;lunch/293290_20201130_lunch_1606709899_4.jpg|||banana rice,supper/293290_20201130_supper_1606737224_1.jpg;supper/293290_20201130_supper_1606737225_2.jpg|||,78.6,78.6
721c929849fc713ce020c5a3e748f73f,2020/12/1,breakfast/293290_20201201_breakfast_1606776968_1.jpg;breakfast/293290_20201201_breakfast_1606776969_2.jpg|||bread milk,lunch/293290_20201201_lunch_1606824010_1.jpg|||rice,supper/293290_20201201_supper_1606824025_1.jpg;supper/293290_20201201_supper_1606824026_2.jpg|||bun wood_ear,78.6,78.6
721c929849fc713ce020c5a3e748f73f,2020/12/2,breakfast/293290_20201202_breakfast_1606864791_1.jpg;breakfast/293290_20201202_breakfast_1606864792_2.jpg|||bread milk,lunch/293290_20201202_lunch_1606902456_1.jpg|||rice,supper/293290_20201202_supper_1606921129_1.jpg|||,78.6,78.3
721c929849fc713ce020c5a3e748f73f,2020/12/3,breakfast/293290_20201203_breakfast_1606955157_1.jpg|||wonton,lunch/293290_20201203_lunch_1606990008_1.jpg|||,supper/293290_20201203_supper_1606991461_1.jpg|||,78.3,77.0
721c929849fc713ce020c5a3e748f73f,2020/12/4,breakfast/293290_20201204_breakfast_1607043698_1.jpg|||bun milk,lunch/293290_20201204_lunch_1607088758_1.jpg|||,supper/293290_20201204_supper_1607088767_1.jpg|||shellfish vegetable wood_ear pork,77.0,78.0
721c929849fc713ce020c5a3e748f73f,2020/12/5,breakfast/293290_20201205_breakfast_1607129295_1.jpg|||pancake milk,lunch/293290_20201205_lunch_1607145219_1.jpg|||,supper/293290_20201205_supper_1607167749_1.jpg|||banana,78.0,78.0
721c929849fc713ce020c5a3e748f73f,2020/12/6,breakfast/293290_20201206_breakfast_1607217512_1.jpg|||bread milk,lunch/293290_20201206_lunch_1607246041_1.jpg|||rice,supper/293290_20201206_supper_1607246107_1.jpg|||banana,78.0,77.6
04c035496225842e841b1f1be086e4e4,2020/11/17,breakfast/293161_20201117_breakfast_1605572817_1.jpg;breakfast/293161_20201117_breakfast_1605572818_2.jpg|||meal_replacement_powder milk,lunch/293161_20201117_lunch_1605590679_1.jpg|||chicken vegetable broccoli rice oatmeal,supper/293161_20201117_supper_1605606091_1.jpg|||chicken egg,124.0,122.3
04c035496225842e841b1f1be086e4e4,2020/11/18,breakfast/293161_20201118_breakfast_1605654598_1.jpg|||meal_replacement_powder milk,lunch/293161_20201118_lunch_1605674573_1.jpg|||chicken vegetable broccoli rice oatmeal mushroom,supper/293161_20201118_supper_1605697283_1.jpg;supper/293161_20201118_supper_1605697284_2.jpg;supper/293161_20201118_supper_1605697285_3.jpg|||tomato rice cabbage tofu egg,122.3,120.8
04c035496225842e841b1f1be086e4e4,2020/11/19,breakfast/293161_20201119_breakfast_1605746296_1.jpg|||meal_replacement_powder milk,lunch/293161_20201119_lunch_1605762386_1.jpg|||chicken vegetable broccoli oatmeal mushroom,supper/293161_20201119_supper_1605785998_1.jpg|||rice carrot lettuce cabbage tofu egg,120.8,120.9
04c035496225842e841b1f1be086e4e4,2020/11/20,breakfast/293161_20201120_breakfast_1605833883_1.jpg|||meal_replacement_powder milk,lunch/293161_20201120_lunch_1605846523_1.jpg|||rice carrot lettuce cabbage tofu egg,supper/293161_20201120_supper_1605865774_1.jpg|||pepper chicken rice tofu mushroom,120.9,120.6
04c035496225842e841b1f1be086e4e4,2020/11/21,breakfast/293161_20201121_breakfast_1605923224_1.jpg|||milk,lunch/293161_20201121_lunch_1605936532_1.jpg|||chicken pork bean wood_ear rice pumpkin lettuce radish celery potato lamb,supper/293161_20201121_supper_1605952927_1.jpg|||corn,120.6,120.8
04c035496225842e841b1f1be086e4e4,2020/11/22,breakfast/293161_20201122_breakfast_1606009481_1.jpg;breakfast/293161_20201122_breakfast_1606009482_2.jpg|||corn egg,lunch/293161_20201122_lunch_1606019841_1.jpg|||sausage rice lettuce tofu mushroom,supper/293161_20201122_supper_1606044341_1.jpg;supper/293161_20201122_supper_1606044342_2.jpg|||shellfish dumpling cucumber mackerel,120.8,120.7
04c035496225842e841b1f1be086e4e4,2020/11/23,breakfast/293161_20201123_breakfast_1606092360_1.jpg;breakfast/293161_20201123_breakfast_1606092361_2.jpg;breakfast/293161_20201123_breakfast_1606092362_3.jpg|||meal_replacement_powder milk,lunch/293161_20201123_lunch_1606112983_1.jpg|||pepper cauliflower rice tofu egg,supper/293161_20201123_supper_1606131209_1.jpg|||pork cauliflower tomato rice cabbage tofu,120.7,120.2
04c035496225842e841b1f1be086e4e4,2020/11/24,breakfast/293161_20201124_breakfast_1606178979_1.jpg|||meal_replacement_powder milk,lunch/293161_20201124_lunch_1606193183_1.jpg|||pepper pork cauliflower tomato rice tofu egg,supper/293161_20201124_supper_1606215457_1.jpg|||pepper rice carrot lettuce tofu egg,120.2,120.1
04c035496225842e841b1f1be086e4e4,2020/11/25,breakfast/293161_20201125_breakfast_1606266621_1.jpg;breakfast/293161_20201125_breakfast_1606266622_2.jpg|||corn egg,lunch/293161_20201125_lunch_1606305930_1.jpg|||spinach egg potato,supper/293161_20201125_supper_1606305953_1.jpg|||corn,120.1,120.8
04c035496225842e841b1f1be086e4e4,2020/11/26,breakfast/293161_20201126_breakfast_1606352887_1.jpg|||eggplant pancake,lunch/293161_20201126_lunch_1606365201_1.jpg|||coffee,supper/293161_20201126_supper_1606386588_1.jpg|||pepper chicken rice carrot lettuce tofu,120.8,120.8
04c035496225842e841b1f1be086e4e4,2020/11/27,breakfast/293161_20201127_breakfast_1606440387_1.jpg|||sausage cake lettuce egg,lunch/293161_20201127_lunch_1606459136_1.jpg|||pepper chicken rice carrot lettuce tofu,supper/293161_20201127_supper_1606479672_1.jpg|||pork cabbage dumpling,120.8,120.8
04c035496225842e841b1f1be086e4e4,2020/11/28,breakfast/293161_20201128_breakfast_1606551825_1.jpg|||,lunch/293161_20201128_lunch_1606551853_1.jpg|||pepper pork moss rice potato mushroom lotus_root,supper/293161_20201128_supper_1606560656_1.jpg;supper/293161_20201128_supper_1606560657_2.jpg|||chicken rice,120.8,121.2
04c035496225842e841b1f1be086e4e4,2020/11/29,breakfast/293161_20201129_breakfast_1606655187_1.jpg|||,lunch/293161_20201129_lunch_1606655226_1.jpg|||potato pepper chicken rice,supper/293161_20201129_supper_1606655274_1.jpg|||corn,121.2,121.3
